fe,time_h,reaction_idx,is_active,is_candidate,X,N,G,F,E
1,6.000000,3,0,1,0.599615,0.129841,93.586346,106.248659,5.383146
1,6.000000,5,1,1,0.599615,0.129841,93.586346,106.248659,5.383146
1,6.000000,6,1,1,0.599615,0.129841,93.586346,106.248659,5.383146
1,6.000000,7,1,1,0.599615,0.129841,93.586346,106.248659,5.383146
1,6.000000,8,0,1,0.599615,0.129841,93.586346,106.248659,5.383146
1,6.000000,10,1,1,0.599615,0.129841,93.586346,106.248659,5.383146
1,6.000000,11,1,1,0.599615,0.129841,93.586346,106.248659,5.383146
1,6.000000,12,1,1,0.599615,0.129841,93.586346,106.248659,5.383146
1,6.000000,14,1,1,0.599615,0.129841,93.586346,106.248659,5.383146
1,6.000000,16,0,1,0.599615,0.129841,93.586346,106.248659,5.383146
1,6.000000,19,1,1,0.599615,0.129841,93.586346,106.248659,5.383146
1,6.000000,20,1,1,0.599615,0.129841,93.586346,106.248659,5.383146
1,6.000000,21,1,1,0.599615,0.129841,93.586346,106.248659,5.383146
1,6.000000,23,1,1,0.599615,0.129841,93.586346,106.248659,5.383146
1,6.000000,25,1,1,0.599615,0.129841,93.586346,106.248659,5.383146
1,6.000000,27,1,1,0.599615,0.129841,93.586346,106.248659,5.383146
1,6.000000,28,0,1,0.599615,0.129841,93.586346,106.248659,5.383146
1,6.000000,33,1,1,0.599615,0.129841,93.586346,106.248659,5.383146
1,6.000000,34,1,1,0.599615,0.129841,93.586346,106.248659,5.383146
1,6.000000,35,1,1,0.599615,0.129841,93.586346,106.248659,5.383146
1,6.000000,37,1,1,0.599615,0.129841,93.586346,106.248659,5.383146
1,6.000000,44,1,1,0.599615,0.129841,93.586346,106.248659,5.383146
1,6.000000,45,1,1,0.599615,0.129841,93.586346,106.248659,5.383146
1,6.000000,46,0,1,0.599615,0.129841,93.586346,106.248659,5.383146
1,6.000000,48,0,1,0.599615,0.129841,93.586346,106.248659,5.383146
1,6.000000,49,1,1,0.599615,0.129841,93.586346,106.248659,5.383146
1,6.000000,52,0,1,0.599615,0.129841,93.586346,106.248659,5.383146
1,6.000000,55,0,1,0.599615,0.129841,93.586346,106.248659,5.383146
1,6.000000,56,0,1,0.599615,0.129841,93.586346,106.248659,5.383146
1,6.000000,57,0,1,0.599615,0.129841,93.586346,106.248659,5.383146
1,6.000000,59,0,1,0.599615,0.129841,93.586346,106.248659,5.383146
1,6.000000,60,0,1,0.599615,0.129841,93.586346,106.248659,5.383146
1,6.000000,61,0,1,0.599615,0.129841,93.586346,106.248659,5.383146
1,6.000000,62,1,1,0.599615,0.129841,93.586346,106.248659,5.383146
1,6.000000,63,1,1,0.599615,0.129841,93.586346,106.248659,5.383146
1,6.000000,65,0,1,0.599615,0.129841,93.586346,106.248659,5.383146
1,6.000000,66,0,1,0.599615,0.129841,93.586346,106.248659,5.383146
1,6.000000,71,0,1,0.599615,0.129841,93.586346,106.248659,5.383146
1,6.000000,72,0,1,0.599615,0.129841,93.586346,106.248659,5.383146
1,6.000000,73,0,1,0.599615,0.129841,93.586346,106.248659,5.383146
1,6.000000,74,0,1,0.599615,0.129841,93.586346,106.248659,5.383146
1,6.000000,75,0,1,0.599615,0.129841,93.586346,106.248659,5.383146
1,6.000000,76,0,1,0.599615,0.129841,93.586346,106.248659,5.383146
1,6.000000,78,0,1,0.599615,0.129841,93.586346,106.248659,5.383146
1,6.000000,79,1,1,0.599615,0.129841,93.586346,106.248659,5.383146
1,6.000000,80,1,1,0.599615,0.129841,93.586346,106.248659,5.383146
1,6.000000,86,0,1,0.599615,0.129841,93.586346,106.248659,5.383146
1,6.000000,91,1,1,0.599615,0.129841,93.586346,106.248659,5.383146
1,6.000000,92,0,1,0.599615,0.129841,93.586346,106.248659,5.383146
1,6.000000,93,1,1,0.599615,0.129841,93.586346,106.248659,5.383146
1,6.000000,94,0,1,0.599615,0.129841,93.586346,106.248659,5.383146
1,6.000000,96,1,1,0.599615,0.129841,93.586346,106.248659,5.383146
1,6.000000,99,1,1,0.599615,0.129841,93.586346,106.248659,5.383146
1,6.000000,100,0,1,0.599615,0.129841,93.586346,106.248659,5.383146
1,6.000000,107,0,1,0.599615,0.129841,93.586346,106.248659,5.383146
1,6.000000,108,0,1,0.599615,0.129841,93.586346,106.248659,5.383146
1,6.000000,109,0,1,0.599615,0.129841,93.586346,106.248659,5.383146
1,6.000000,110,0,1,0.599615,0.129841,93.586346,106.248659,5.383146
1,6.000000,111,0,1,0.599615,0.129841,93.586346,106.248659,5.383146
1,6.000000,112,0,1,0.599615,0.129841,93.586346,106.248659,5.383146
1,6.000000,113,1,1,0.599615,0.129841,93.586346,106.248659,5.383146
1,6.000000,114,0,1,0.599615,0.129841,93.586346,106.248659,5.383146
1,6.000000,115,0,1,0.599615,0.129841,93.586346,106.248659,5.383146
1,6.000000,116,0,1,0.599615,0.129841,93.586346,106.248659,5.383146
1,6.000000,120,0,1,0.599615,0.129841,93.586346,106.248659,5.383146
1,6.000000,121,1,1,0.599615,0.129841,93.586346,106.248659,5.383146
1,6.000000,122,0,1,0.599615,0.129841,93.586346,106.248659,5.383146
1,6.000000,123,1,1,0.599615,0.129841,93.586346,106.248659,5.383146
1,6.000000,126,0,1,0.599615,0.129841,93.586346,106.248659,5.383146
1,6.000000,127,1,1,0.599615,0.129841,93.586346,106.248659,5.383146
1,6.000000,128,0,1,0.599615,0.129841,93.586346,106.248659,5.383146
1,6.000000,129,0,1,0.599615,0.129841,93.586346,106.248659,5.383146
1,6.000000,130,1,1,0.599615,0.129841,93.586346,106.248659,5.383146
1,6.000000,131,1,1,0.599615,0.129841,93.586346,106.248659,5.383146
1,6.000000,132,1,1,0.599615,0.129841,93.586346,106.248659,5.383146
1,6.000000,133,1,1,0.599615,0.129841,93.586346,106.248659,5.383146
1,6.000000,135,0,1,0.599615,0.129841,93.586346,106.248659,5.383146
1,6.000000,136,1,1,0.599615,0.129841,93.586346,106.248659,5.383146
1,6.000000,137,0,1,0.599615,0.129841,93.586346,106.248659,5.383146
1,6.000000,138,0,1,0.599615,0.129841,93.586346,106.248659,5.383146
1,6.000000,139,0,1,0.599615,0.129841,93.586346,106.248659,5.383146
1,6.000000,140,0,1,0.599615,0.129841,93.586346,106.248659,5.383146
1,6.000000,142,0,1,0.599615,0.129841,93.586346,106.248659,5.383146
1,6.000000,144,1,1,0.599615,0.129841,93.586346,106.248659,5.383146
1,6.000000,145,0,1,0.599615,0.129841,93.586346,106.248659,5.383146
1,6.000000,146,0,1,0.599615,0.129841,93.586346,106.248659,5.383146
1,6.000000,147,0,1,0.599615,0.129841,93.586346,106.248659,5.383146
1,6.000000,148,0,1,0.599615,0.129841,93.586346,106.248659,5.383146
1,6.000000,149,0,1,0.599615,0.129841,93.586346,106.248659,5.383146
1,6.000000,152,1,1,0.599615,0.129841,93.586346,106.248659,5.383146
1,6.000000,153,0,1,0.599615,0.129841,93.586346,106.248659,5.383146
1,6.000000,154,0,1,0.599615,0.129841,93.586346,106.248659,5.383146
1,6.000000,158,0,1,0.599615,0.129841,93.586346,106.248659,5.383146
1,6.000000,159,0,1,0.599615,0.129841,93.586346,106.248659,5.383146
1,6.000000,160,0,1,0.599615,0.129841,93.586346,106.248659,5.383146
1,6.000000,161,0,1,0.599615,0.129841,93.586346,106.248659,5.383146
1,6.000000,162,0,1,0.599615,0.129841,93.586346,106.248659,5.383146
1,6.000000,163,0,1,0.599615,0.129841,93.586346,106.248659,5.383146
1,6.000000,172,0,1,0.599615,0.129841,93.586346,106.248659,5.383146
1,6.000000,173,0,1,0.599615,0.129841,93.586346,106.248659,5.383146
1,6.000000,174,1,1,0.599615,0.129841,93.586346,106.248659,5.383146
1,6.000000,178,0,1,0.599615,0.129841,93.586346,106.248659,5.383146
1,6.000000,179,1,1,0.599615,0.129841,93.586346,106.248659,5.383146
1,6.000000,180,1,1,0.599615,0.129841,93.586346,106.248659,5.383146
1,6.000000,181,0,1,0.599615,0.129841,93.586346,106.248659,5.383146
1,6.000000,183,0,1,0.599615,0.129841,93.586346,106.248659,5.383146
1,6.000000,184,1,1,0.599615,0.129841,93.586346,106.248659,5.383146
1,6.000000,185,1,1,0.599615,0.129841,93.586346,106.248659,5.383146
1,6.000000,186,1,1,0.599615,0.129841,93.586346,106.248659,5.383146
1,6.000000,188,1,1,0.599615,0.129841,93.586346,106.248659,5.383146
1,6.000000,189,1,1,0.599615,0.129841,93.586346,106.248659,5.383146
1,6.000000,191,1,1,0.599615,0.129841,93.586346,106.248659,5.383146
1,6.000000,192,1,1,0.599615,0.129841,93.586346,106.248659,5.383146
1,6.000000,193,1,1,0.599615,0.129841,93.586346,106.248659,5.383146
1,6.000000,194,0,1,0.599615,0.129841,93.586346,106.248659,5.383146
1,6.000000,196,1,1,0.599615,0.129841,93.586346,106.248659,5.383146
1,6.000000,197,1,1,0.599615,0.129841,93.586346,106.248659,5.383146
1,6.000000,199,0,1,0.599615,0.129841,93.586346,106.248659,5.383146
1,6.000000,202,1,1,0.599615,0.129841,93.586346,106.248659,5.383146
1,6.000000,204,0,1,0.599615,0.129841,93.586346,106.248659,5.383146
1,6.000000,219,0,1,0.599615,0.129841,93.586346,106.248659,5.383146
1,6.000000,220,0,1,0.599615,0.129841,93.586346,106.248659,5.383146
1,6.000000,222,1,1,0.599615,0.129841,93.586346,106.248659,5.383146
1,6.000000,223,0,1,0.599615,0.129841,93.586346,106.248659,5.383146
1,6.000000,225,0,1,0.599615,0.129841,93.586346,106.248659,5.383146
1,6.000000,232,0,1,0.599615,0.129841,93.586346,106.248659,5.383146
1,6.000000,233,0,1,0.599615,0.129841,93.586346,106.248659,5.383146
1,6.000000,234,0,1,0.599615,0.129841,93.586346,106.248659,5.383146
1,6.000000,235,0,1,0.599615,0.129841,93.586346,106.248659,5.383146
1,6.000000,242,0,1,0.599615,0.129841,93.586346,106.248659,5.383146
1,6.000000,243,0,1,0.599615,0.129841,93.586346,106.248659,5.383146
1,6.000000,244,1,1,0.599615,0.129841,93.586346,106.248659,5.383146
1,6.000000,245,1,1,0.599615,0.129841,93.586346,106.248659,5.383146
1,6.000000,246,0,1,0.599615,0.129841,93.586346,106.248659,5.383146
1,6.000000,266,1,1,0.599615,0.129841,93.586346,106.248659,5.383146
1,6.000000,268,0,1,0.599615,0.129841,93.586346,106.248659,5.383146
1,6.000000,269,1,1,0.599615,0.129841,93.586346,106.248659,5.383146
1,6.000000,271,0,1,0.599615,0.129841,93.586346,106.248659,5.383146
1,6.000000,272,1,1,0.599615,0.129841,93.586346,106.248659,5.383146
1,6.000000,273,0,1,0.599615,0.129841,93.586346,106.248659,5.383146
1,6.000000,274,1,1,0.599615,0.129841,93.586346,106.248659,5.383146
1,6.000000,275,0,1,0.599615,0.129841,93.586346,106.248659,5.383146
1,6.000000,276,0,1,0.599615,0.129841,93.586346,106.248659,5.383146
1,6.000000,277,0,1,0.599615,0.129841,93.586346,106.248659,5.383146
1,6.000000,278,1,1,0.599615,0.129841,93.586346,106.248659,5.383146
1,6.000000,279,0,1,0.599615,0.129841,93.586346,106.248659,5.383146
1,6.000000,280,0,1,0.599615,0.129841,93.586346,106.248659,5.383146
1,6.000000,282,0,1,0.599615,0.129841,93.586346,106.248659,5.383146
1,6.000000,288,1,1,0.599615,0.129841,93.586346,106.248659,5.383146
1,6.000000,289,0,1,0.599615,0.129841,93.586346,106.248659,5.383146
1,6.000000,291,0,1,0.599615,0.129841,93.586346,106.248659,5.383146
