assay,time_h,timestamp,density,glucose,fructose,total_sugar
SB003,0.0,2025-03-13 22:00:00+00:00,1065.8333333333333,74.99,72.96,147.95
SB003,12.7,2025-03-14 10:42:00+00:00,1060.8666666666666,73.35,68.62,141.97
SB003,37.0,2025-03-15 11:00:00+00:00,1040.0,39.13,62.13,101.26
SB003,40.83333333333333,2025-03-15 14:50:00+00:00,1036.1666666666667,33.73,58.29,92.02
SB003,61.25,2025-03-16 11:15:00+00:00,1017.375,23.5,26.72,50.22
SB003,84.83333333333334,2025-03-17 10:50:00+00:00,1004.0833333333334,9.91,14.39,24.3
SB003,89.0,2025-03-17 15:00:00+00:00,1002.0,9.17,8.53,17.7
SB003,108.33333333333334,2025-03-18 10:20:00+00:00,995.7777777777778,1.43,5.5,6.93
SB003,113.16666666666666,2025-03-18 15:10:00+00:00,995.0,2.26,2.79,5.05
SB003,131.25,2025-03-19 09:15:00+00:00,995.0,0.84,0.34,1.18
SB003,136.83333333333334,2025-03-19 14:50:00+00:00,995.0,0.02,0.5,0.52
SB004,0.0,2025-03-13 22:00:00+00:00,1065.0,77.81,77.54,155.35000000000002
SB004,12.7,2025-03-14 10:42:00+00:00,1064.15,76.2,69.85,146.05
SB004,37.0,2025-03-15 11:00:00+00:00,1050.3333333333333,65.11,54.65,119.75999999999999
SB004,40.83333333333333,2025-03-15 14:50:00+00:00,1047.138888888889,47.91,48.59,96.5
SB004,61.25,2025-03-16 11:15:00+00:00,1029.75,39.58,36.3,75.88
SB004,84.83333333333334,2025-03-17 10:50:00+00:00,1015.7777777777778,23.39,23.8,47.19
SB004,89.0,2025-03-17 15:00:00+00:00,1013.0,7.12,32.52,39.64
SB004,108.33333333333334,2025-03-18 10:20:00+00:00,1004.3333333333334,2.04,18.55,20.59
SB004,113.16666666666666,2025-03-18 15:10:00+00:00,1002.0,1.45,17.46,18.91
SB004,131.25,2025-03-19 09:15:00+00:00,1001.0,0.44,0.0,0.44
SB004,136.83333333333334,2025-03-19 14:50:00+00:00,1001.0,0.08,8.84,8.92
SB004,156.0,2025-03-20 10:00:00+00:00,1001.0,0.07,5.23,5.300000000000001
SB004,180.0,2025-03-21 10:00:00+00:00,1001.0,0.02,1.47,1.49
SB005,0.0,2025-03-13 22:00:00+00:00,1064.8333333333333,77.34,76.72,154.06
SB005,12.7,2025-03-14 10:42:00+00:00,1061.5833333333333,61.56,69.80000000000001,131.36
SB005,37.0,2025-03-15 11:00:00+00:00,1041.0,44.61,64.96,109.57
SB005,40.83333333333333,2025-03-15 14:50:00+00:00,1037.1666666666667,37.2,61.44,98.64
SB005,61.25,2025-03-16 11:15:00+00:00,1017.75,27.09,25.36,52.45
SB005,84.83333333333334,2025-03-17 10:50:00+00:00,1004.0833333333334,12.28,12.64,24.92
SB005,108.33333333333334,2025-03-18 10:20:00+00:00,995.5555555555555,1.45,17.46,18.91
SB005,113.16666666666666,2025-03-18 15:10:00+00:00,994.0,2.5,2.86,5.359999999999999
SB005,131.25,2025-03-19 09:15:00+00:00,994.0,0.8,0.31,1.11
SB005,136.83333333333334,2025-03-19 14:50:00+00:00,994.0,0.03,0.48,0.51
SB006,0.0,2025-03-13 22:00:00+00:00,1064.8333333333333,77.78,77.44,155.22
SB006,12.7,2025-03-14 10:42:00+00:00,1063.4333333333334,74.1,73.39,147.49
SB006,37.0,2025-03-15 11:00:00+00:00,1051.6666666666667,63.66,62.45,126.11
SB006,40.83333333333333,2025-03-15 14:50:00+00:00,1049.111111111111,52.13,68.85,120.97999999999999
SB006,61.25,2025-03-16 11:15:00+00:00,1031.125,42.59,38.99,81.58000000000001
SB006,84.83333333333334,2025-03-17 10:50:00+00:00,1016.3888888888889,23.19,29.85,53.040000000000006
SB006,108.33333333333334,2025-03-18 10:20:00+00:00,1005.3333333333334,3.03,21.75,24.78
SB006,113.16666666666666,2025-03-18 15:10:00+00:00,1003.0,1.25,19.64,20.89
SB006,131.25,2025-03-19 09:15:00+00:00,1002.0,0.62,10.17,10.79
SB006,136.83333333333334,2025-03-19 14:50:00+00:00,1002.0,0.31,9.36,9.67
SB006,156.0,2025-03-20 10:00:00+00:00,1002.0,0.08,5.78,5.86
SB006,180.0,2025-03-21 10:00:00+00:00,1002.0,0.0,2.23,2.23
SB007,0.0,2025-03-25 18:00:00+00:00,1061.0,60.03,69.45,129.48000000000002
SB007,15.0,2025-03-26 09:00:00+00:00,1061.0,46.05,54.34,100.39
SB007,21.0,2025-03-26 15:00:00+00:00,1061.0,60.7,70.71999999999998,131.42
SB007,24.0,2025-03-26 18:00:00+00:00,1061.0,44.57,54.470000000000006,99.04
SB007,40.0,2025-03-27 10:00:00+00:00,1052.3333333333333,48.57,62.6,111.17
SB007,44.5,2025-03-27 14:30:00+00:00,1049.3333333333333,44.62,59.98,104.6
SB007,46.666666666666664,2025-03-27 16:40:00+00:00,1049.2777777777778,54.44,61.02,115.46000000000001
SB007,64.0,2025-03-28 10:00:00+00:00,1038.4166666666667,32.01,55.52,87.53
SB007,68.5,2025-03-28 14:30:00+00:00,1035.7916666666667,28.98,54.61,83.59
SB007,90.0,2025-03-29 12:00:00+00:00,1024.5,20.0,39.98,59.98
SB007,118.5,2025-03-30 16:30:00+00:00,1012.75,9.69,25.83,35.519999999999996
SB007,136.0,2025-03-31 10:00:00+00:00,1008.0,3.89,25.93,29.82
SB007,142.33333333333331,2025-03-31 16:20:00+00:00,1007.3333333333334,5.59,20.52,26.11
SB007,159.0,2025-04-01 09:00:00+00:00,1004.0,1.29,19.15,20.439999999999998
SB007,165.0,2025-04-01 15:00:00+00:00,1003.0,1.47,17.07,18.54
SB007,183.5,2025-04-02 09:30:00+00:00,1000.9166666666666,1.45,9.13,10.58
SB007,190.0,2025-04-02 16:00:00+00:00,999.8333333333334,1.41,7.61,9.02
SB007,208.0,2025-04-03 10:00:00+00:00,998.6666666666666,0.13,6.59,6.72
SB007,213.0,2025-04-03 15:00:00+00:00,997.0,0.1,5.95,6.05
