assay,n,R2,RMSE,MAE
SB003,11,0.9952416963728841,3.762036652372714,3.438838347285788
SB004,13,0.9798241366233428,7.668975610930615,6.249884624864872
SB005,10,0.9768546842077546,8.451063329550756,7.076624350471927
SB006,12,0.9824323643658586,7.574827539030478,6.9784551445016305
SB007,20,0.925474846602534,12.510904278488313,6.650245739268757
SB008,20,0.9538703445125487,10.43387631445249,4.6885930028395055
SB009,16,0.9916826503056785,4.762842387820302,3.0878649495510126
SB010,16,0.9936808496281333,4.220708298504096,2.410218244591218
SB011,27,0.9961012352495501,3.227496202362057,2.2577264684887406
SB012,29,0.9953952458563053,3.7227588044338606,2.5507151723540513
