Clapeyron Database File,
custom UNIFAC groups for isoamyl acetate [csvtype = groups,grouptype = UNIFACDortmund]
species,groups
isoamyl acetate,"[""CH3""=>3,""CH""=>1,""CH2""=>2,""COO""=>1]"
isoamylacetate,"[""CH3""=>3,""CH""=>1,""CH2""=>2,""COO""=>1]"
isoamylacetate~|~isopentyl acetate~|~3-methylbutyl ethanoate,"[""CH3""=>3,""CH""=>1,""CH2""=>2,""COO""=>1]"
