time,X,N,G,F,E,Temp
0.0,0.5,0.14,110.0,110.0,0.0,293.15
0.1,0.501361107982812,0.13988463431154977,109.79024326744515,109.95305220227138,0.14588014443350936,293.15
0.2,0.5027252233668098,0.1397690137198054,109.5891138236842,109.90768091112236,0.28576563246475134,293.15
0.3,0.5040923485550977,0.1396531380210832,109.3955567010728,109.86369086147462,0.4203900194533486,293.15
0.4,0.5054624859239669,0.1395370070139719,109.20871348856035,109.82092316955595,0.5503501822120842,293.15
0.5,0.5068356378226884,0.13942062049935042,109.02787470434491,109.77924651649872,0.6761394392521128,293.15
0.6,0.5082118065733005,0.1393039782804059,108.85244576098745,109.73855084852296,0.7981712178437065,293.15
0.7,0.5095909944703991,0.13918708016265147,108.68192285840962,109.69874291489876,0.9167958171925028,293.15
0.8,0.5109732037809294,0.13906992595394393,108.51587438393167,109.65974282513069,1.0323133423889597,293.15
0.9,0.5123584367439682,0.1389525154645021,108.35392765608593,109.6214815954945,1.144982921989192,293.15
1.0,0.5137466955705141,0.1388348485069247,108.19575752253311,109.58389903846904,1.2550306368660216,293.15
1.1,0.5151379824432848,0.13871692489620752,108.04107953664366,109.546942500033,1.3626542644744337,293.15
1.2,0.5165322995164735,0.138598744449764,107.8896417670149,109.51056534358337,1.468028974387318,293.15
1.3,0.5179296489155658,0.13848030698744088,107.74122051007652,109.47472615640827,1.5713103095278382,293.15
1.4,0.5193300327371306,0.1383616123315357,107.59561680579282,109.43938810503016,1.6726366085283242,293.15
1.5,0.5207334530485352,0.13824266030682128,107.45265119439311,109.4045179645905,1.7721326519582594,293.15
1.6,0.5221399118878258,0.13812345074055551,107.31216220201605,109.37008583858092,1.869910715302869,293.15
1.7,0.5235494112634635,0.13800398346250392,107.17400387746079,109.33606470310853,1.9660722814493963,293.15
1.8,0.5249619531540946,0.13788425830495912,107.03804386705045,109.30243005063156,2.0607093792382862,293.15
1.9,0.5263775395082894,0.13776427510276287,106.90416076696904,109.26915939977597,2.1539064247898643,293.15
2.0,0.5277961722444748,0.1376440336933119,106.77224398381239,109.23623226959481,2.2457403183377584,293.15
2.1,0.52921785325056,0.13752353391658956,106.64219187913882,109.20362983627248,2.3362817341896447,293.15
2.2,0.5306425843838576,0.1374027756151725,106.51391162526353,109.17133490653318,2.425595220811804,293.15
2.3,0.5320703674706166,0.1372817586342703,106.3873168500628,109.13933148159646,2.5137408387763505,293.15
2.4,0.533501204306023,0.13716048282172544,106.26232761193064,109.10760475254064,2.60077417817783,293.15
2.5,0.5349350966540256,0.13703894802802796,106.13887017935149,109.07614105958702,2.6867465117517977,293.15
2.6,0.5363720462468745,0.13691715410635466,106.0168757469213,109.04492765451874,2.7717056875721147,293.15
2.7,0.5378120547852474,0.13679510091255837,105.8962810081012,109.0139528067906,2.855695730589572,293.15
2.8,0.539255123937537,0.13667278830522836,105.77702634433714,108.98320546824225,2.938758102067144,293.15
2.9,0.5407012553398514,0.13655021614569032,105.65905582505997,108.95267527309824,3.0209316995799926,293.15
3.0,0.5421504505960731,0.1364273842980013,105.5423172986633,108.92235255481768,3.1022527937318998,293.15
3.1,0.5436027112773043,0.1363042926289968,105.42676189175812,108.8922282534831,3.1827553762220475,293.15
3.2,0.5450580389216626,0.13618094100830805,105.31234357747634,108.8622938359437,3.262471459943408,293.15000000000003
3.3,0.5465164350344973,0.1360573293083436,105.19901966435532,108.83254138637803,3.3414307388851827,293.15000000000003
3.4,0.5479779010873941,0.1359334574043739,105.0867495559251,108.80296337661602,3.4196614508507968,293.15000000000003
3.5,0.5494424385181753,0.13580932517453098,104.97549475070838,108.77355266613907,3.4971903774579,293.15000000000003
3.6,0.5509100487308999,0.13568493249980873,104.86521884222053,108.74430250207999,3.5740428441383663,293.15000000000003
3.7,0.5523807330959581,0.13556027926405467,104.75588758579174,108.71520653159985,3.6502426736549296,293.15000000000003
3.8,0.5538544929493984,0.1354353653540272,104.6474686719092,108.68625876001593,3.7258123435634847,293.15000000000003
3.9,0.5553313295920786,0.13531019065946726,104.5399309946581,108.65745341536187,3.8007734949890137,293.15000000000003
4.0,0.556811244291303,0.1351847550729599,104.4332458274045,108.62878516613323,3.875146114816695,293.15000000000003
4.1,0.5582942382788093,0.1350590584901047,104.3273856201531,108.60024889858649,3.948949372184885,293.15000000000003
4.2,0.5597803127507687,0.1349331008095157,104.22232399954733,108.57183971673906,4.022201618485115,293.15000000000003
4.3,0.5612694688677866,0.13480688193282162,104.11803576886932,108.5435529423693,4.09492038736209,293.1500000000001
4.4,0.5627617077549019,0.13468040176466564,104.01449690803989,108.51538411501637,4.167122394713695,293.1500000000001
4.5,0.5642570305015874,0.13455366021270554,103.9116845736186,108.48732899198048,4.238823538690986,293.1500000000001
4.6,0.5657554381622683,0.13442665718756958,103.8095773354964,108.45938359219966,4.310038734975163,293.1500000000001
4.7,0.5672569317520831,0.13429939260321608,103.70815394679883,108.431543968517,4.380782772291725,293.1500000000001
4.8,0.5687615122520141,0.13417186637649822,103.60739472761661,108.4038064639149,4.451069349929829,293.1500000000001
4.9,0.570269180606242,0.13404407842738852,103.50728094322294,108.3761675963998,4.5209115101924455,293.15000000000015
5.0,0.5717799377211815,0.13391602867906052,103.40779451336151,108.3486240051585,4.590321840625855,293.15000000000015
