time_raw,conc_raw_gL,rate_gL_h
2.460856794275861,0.15513798909313162,0.0
17.61601291140381,0.727787825218702,0.0
28.847933852000242,1.249326029807231,0.0
39.98982382085179,1.329748906016035,0.0
51.24045839012807,1.5828374671855516,0.0
62.49254739001792,1.7652795622698638,0.0
10.236243724399978,1.842422700957708,0.0
23.12841404118524,2.083685636729283,0.0
34.296593859671134,2.256206423097767,0.0
45.50137894667479,2.3346785316884096,0.0
56.75285679015582,2.5801121702454983,0.0
68.00494579661314,2.755631148740764,0.0
15.871375648344799,2.792346498949475,0.0
27.12347021821912,2.9071030032037397,0.0
38.245454312260534,2.9890966419388363,0.0
49.49582199101743,3.005271055969377,0.0
60.747910988828714,3.0557587136679767,0.0
72.00000000004576,3.0917624532462797,0.0
