2.000000000000000111e-01,8.126290548191566643e+01,0.000000000000000000e+00,5.000000000000000000e-01
2.185257454814149847e-01,8.099758775812206579e+01,1.753775808623844468e-01,5.000000123800089069e-01
2.888885894813269517e-01,7.998987930975454219e+01,8.414811595542489586e-01,5.000000515111532318e-01
3.537513761307858884e-01,7.906093833956217054e+01,1.455517373214250787e+00,5.000000799160111420e-01
3.866751708913999663e-01,7.858525180473563410e+01,1.776613339050962859e+00,5.000000930369673524e-01
5.118258690327712745e-01,7.677705869507236969e+01,2.997170829059672581e+00,5.000001345060741675e-01
6.273202110727194025e-01,7.510837956073973487e+01,4.123552753613754618e+00,5.000001645962478536e-01
6.862952122520522558e-01,7.424064377376967627e+01,4.734094869013165230e+00,5.000001787080131654e-01
9.108631067767749556e-01,7.093643445654998914e+01,7.058947003505370965e+00,5.000002233044825717e-01
1.118586921597054973e+00,6.788006024892332846e+01,9.209419827296605021e+00,5.000002556519079766e-01
1.226424454777397255e+00,6.622301159570076834e+01,1.048474273235147614e+01,5.000002713752204064e-01
1.638871278559656641e+00,5.988528532670512305e+01,1.536247746878897047e+01,5.000003210601459136e-01
2.022645722845418437e+00,5.398814075802006585e+01,1.990112301025478203e+01,5.000003570855739987e-01
2.240071370656448124e+00,5.002367829096057505e+01,2.388034765724821185e+01,5.000003768874157206e-01
3.088588722220042548e+00,3.455210849901492054e+01,3.940952373097243111e+01,5.000004394549409925e-01
3.899899334734644896e+00,1.975894938329122752e+01,5.425775915598238441e+01,5.000004848056422979e-01
4.059531006729076630e+00,1.883334759161706984e+01,6.589162744917940984e+01,5.212271231424394635e-01
4.607991545832787139e+00,1.402605562112150395e+01,1.058631293211163324e+02,5.882946354530587119e-01
5.051298689636367634e+00,8.585625616179564545e+00,1.381711096861919543e+02,6.369014710449149019e-01
5.051359478237166023e+00,8.989641088671767477e+00,1.530944099057302594e+02,6.652441398414185025e-01
5.051551550208980501e+00,1.026557494427536099e+01,2.002471269781902379e+02,7.547954035992873179e-01
5.051690757950414223e+00,1.118974113875015419e+01,2.344219374236689646e+02,8.196972227401267963e-01
5.051695474910860462e+00,1.156003884700466067e+01,2.482161564178832975e+02,8.458831141825292610e-01
5.051710378609558738e+00,1.272998612659263529e+01,2.918003421995584290e+02,9.286198419101032719e-01
5.051721180016677692e+00,1.357785923399289452e+01,3.233878376833819175e+02,9.885828610111899728e-01
5.051722473798753832e+00,1.392888612586800612e+01,3.365075401165520361e+02,1.013484066975261833e+00
5.051726561624913181e+00,1.503797677279596634e+01,3.779604663470153696e+02,1.092161713007094637e+00
5.051729524257798865e+00,1.584177404851265969e+01,4.080032830013925036e+02,1.149182933465917822e+00
5.051730314551186041e+00,1.384781903981975582e+01,4.163645014026706122e+02,1.157062170446440330e+00
5.051732811563599768e+00,7.547730858418751687e+00,4.427825470485788628e+02,1.181957342956061252e+00
5.051734621259635460e+00,2.981770178844352248e+00,4.619288983039692198e+02,1.199999991558300394e+00
