stage,compl_w,stat_w,wall_time_sec,solver_status,termination,obj_reg_term,obj_compl_term_raw,obj_total,comp_res_l2_max,comp_res_l2_mean,act_bounds_lb_mean,act_bounds_ub_mean,gap_abs_max_mu,gap_abs_max_eth,gap_abs_max_glu,gap_abs_max_fru,gap_abs_max_yan,gap_rel_max_mu,gap_rel_max_eth,gap_rel_max_glu,gap_rel_max_fru,gap_rel_max_yan
stage_1,1000000.0,0.001,335.6014246940613,warning,maxIterations,0.00028614211761832705,139317.7797105832,139317779710.5835,76.82508743070015,76.18910814407693,0.041666666666666664,0.0,4.668954283614531,4.445918028998889,3.3299829968909145,1.5678711436072157,0.7078210698169889,62.06489835582014,0.22945053218344258,1.9668459562063823,1.211782179468803,91.78020261591138
stage_2,1000000.0,0.01,322.6616675853729,warning,maxIterations,0.0003239768336580807,151919.5754888152,151919575488.81552,80.18404027375477,79.56039403207255,0.0,0.0,4.604041498215313,4.958126881996304,3.2958706097701866,1.554934202367777,0.6977245963092455,62.073708284023255,0.2149366862773218,1.284234242383125,1.207646861822067,91.75240300618982
stage_3,1000000.0,0.03,331.0496335029602,warning,maxIterations,0.0003618239742355296,205616.95582722183,205616955827.2222,93.29939039292134,92.55944599754996,0.0,0.0,4.70862882413808,4.9426546969396234,3.1735936254001147,1.449058969324899,0.7352941877734432,62.53762866779111,0.20886351881690418,1.0642771137743838,1.2824692424031496,95.34972940330287
polish,1000000.0,0.1,606.3272683620453,warning,maxIterations,0.00036160279102425644,205459.78408586897,205459784085.86935,93.26374447321103,92.5240634732689,0.0,0.0,4.706834938037656,4.940787267791283,3.1723845498732812,1.4485062941668225,0.7350140563051721,62.51352475210438,0.20887595540689063,1.0638378188132256,1.282635801882394,95.31297866347677
