assay,time_h,dN_gL
SB004,38.916666666666664,0.03842
SB006,38.916666666666664,0.039599999999999996
SB009,40.5,0.04006
SB010,40.5,0.041159999999999995
SB011,38.5,0.06264
24018,0.0,0.022400000000000003
24018,30.0,0.07680000000000001
24019,0.0,0.022400000000000003
24019,30.0,0.048
24021,0.0,0.022400000000000003
24021,30.0,0.07680000000000001
24022,0.0,0.022400000000000003
24022,30.0,0.07680000000000001
24023,0.0,0.022400000000000003
24023,30.0,0.07680000000000001
24024,0.0,0.022400000000000003
24024,18.0,0.07680000000000001
24026,0.0,0.022400000000000003
24026,30.0,0.07680000000000001
24027,0.0,0.022400000000000003
24027,24.0,0.07680000000000001
24031,0.0,0.022400000000000003
24031,30.0,0.07680000000000001
SB003,38.916666666666664,0.04298
SB005,38.916666666666664,0.048799999999999996
SB007,45.58333333333333,0.047080000000000004
SB008,45.58333333333333,0.049539999999999994
SB012,42.5,0.05936000000000002
24020,6.0,0.022400000000000003
24020,30.0,0.07680000000000001
24025,0.0,0.022400000000000003
24025,78.0,0.07680000000000001
24028,0.0,0.022400000000000003
24028,54.0,0.07680000000000001
24029,0.0,0.022400000000000003
24029,54.0,0.07680000000000001
24030,0.0,0.022400000000000003
24030,24.0,0.07680000000000001
