assay,n_X,n_N,n_G,n_F,n_E,n_S,t_min_h,t_max_h
24018,1,1,0,0,2,44,0.0,258.0
24019,1,1,0,0,2,44,0.0,258.0
24021,1,1,0,0,1,44,0.0,258.0
24022,1,1,0,0,1,44,0.0,258.0
24023,1,1,0,0,2,48,0.0,282.0
24024,1,1,0,0,2,48,0.0,282.0
24026,1,2,0,0,2,122,0.0,738.0
24027,1,1,0,0,2,76,0.0,450.0
24031,1,1,0,0,1,28,0.0,162.0
SB004,13,13,13,13,13,0,0.0,180.0
SB006,13,13,13,12,13,0,0.0,180.0
SB009,16,16,16,16,16,0,0.0,189.0
SB010,16,16,16,16,16,0,0.0,189.0
SB011,27,25,27,27,27,0,0.0,374.5
