assay,X0_biomass,N0_gL,G0,F0,E0
SB004,0.4684999009227605,0.1525,77.81,77.54,6.156072
SB006,0.33051885225485544,0.14668,77.78,77.44,6.156072
SB009,0.5747014981771889,0.09698,67.83,79.85,7.418856
SB010,0.6084224749190548,0.09498,69.77,78.59,7.418856
SB011,0.4708543538337885,0.08842,65.64,74.52,6.562918279001755
24018,0.3,0.10400000000000001,86.59276573072532,86.59276573072532,0.0
24019,0.3,0.10400000000000001,87.1526536902734,87.1526536902734,0.0
24021,0.3,0.10400000000000001,87.1526536902734,87.1526536902734,0.0
24022,0.3,0.10400000000000001,86.59276573072532,86.59276573072532,0.0
24023,0.3,0.10400000000000001,87.1526536902734,87.1526536902734,0.0
24024,0.3,0.10400000000000001,87.1526536902734,87.1526536902734,0.0
24026,0.3,0.10400000000000001,87.694403885491,87.694403885491,0.0
24027,0.3,0.10400000000000001,87.1526536902734,87.1526536902734,0.0
24031,0.3,0.10400000000000001,86.59276573072532,86.59276573072532,0.0
