state,fe,cp,value
1,1,1,0.20615479084319283
1,1,2,0.22687189244860306
1,1,3,0.2431768861668454
1,2,1,0.25038449815156155
1,2,2,0.2745895643719457
1,2,3,0.2935827788843912
1,3,1,0.30179590662317624
1,3,2,0.3292845815820922
1,3,3,0.3507598007387286
1,4,1,0.35969356966760163
1,4,2,0.3894418901886963
1,4,3,0.41252881224111754
1,5,1,0.4214740602612926
1,5,2,0.4510310669389889
1,5,3,0.47374007294284237
1,6,1,0.48147359531013395
1,6,2,0.5067474104814824
1,6,3,0.5258898723666126
1,7,1,0.5311695395437445
1,7,2,0.5482019167654062
1,7,3,0.5608864204904199
1,8,1,0.5634650981146606
1,8,2,0.5716908284865803
1,8,3,0.5777273372546401
1,9,1,0.5784992514723598
1,9,2,0.580944960634327
1,9,3,0.5827239273924502
1,10,1,0.5829469287599828
1,10,2,0.5836520829564134
1,10,3,0.5841636728562393
1,11,1,0.5842293282216287
1,11,2,0.5844368208214794
1,11,3,0.5845872460292916
1,12,1,0.5846096610231803
1,12,2,0.5846804889008087
1,12,3,0.5847318264039649
2,1,1,3.941021494244408
2,1,2,3.742499118459006
2,1,3,3.58625592545296
2,2,1,3.5169979721015228
2,2,2,3.2844114571143814
2,2,3,3.101905631647467
2,3,1,3.0226366508576943
2,3,2,2.757329775882739
2,3,3,2.550061753130031
2,4,1,2.463175473280873
2,4,2,2.173855150642788
2,4,3,1.9493209368388817
2,5,1,1.8610330454706943
2,5,2,1.5693110279192826
2,5,3,1.3451774701066972
2,6,1,1.2663733745777448
2,6,2,1.0088348232721167
2,6,3,0.8137743674376378
2,7,1,0.7556961461994222
2,7,2,0.5683339244752843
2,7,3,0.4287998613391371
2,8,1,0.3942115218664604
2,8,2,0.28387808906403816
2,8,3,0.20290914114770633
2,9,1,0.18550148234877537
2,9,2,0.13034740302520956
2,9,3,0.09022909308566826
2,10,1,0.08228794243111863
2,10,2,0.057177172510969224
2,10,3,0.0389592886727804
2,11,1,0.03549429400001149
2,11,2,0.02454376598310211
2,11,3,0.016604996364674926
2,12,1,0.01512178597858298
2,12,2,0.010435072887271243
2,12,3,0.007038046731659115
3,1,1,1.9960218607673443
3,1,2,1.9826313951812347
3,1,3,1.972092688445405
3,2,1,1.9667011468327618
3,2,2,1.9485949249019459
3,2,3,1.9343873472229924
3,3,1,1.9268907737902183
3,3,2,1.901800348132335
3,3,3,1.882198734290744
3,4,1,1.8714512403121655
3,4,2,1.835663444726467
3,4,3,1.8078894381779453
3,5,1,1.792043363856883
3,5,2,1.739684555719922
3,5,3,1.6994566496179162
3,6,1,1.6761060079432237
3,6,2,1.5997941058442071
3,6,3,1.5419952469378957
3,7,1,1.510050757170878
3,7,2,1.406996799093869
3,7,3,1.3302495372023504
3,8,1,1.2930021250817076
3,8,2,1.174186509412207
3,8,3,1.0869928531079367
3,9,1,1.050700501326412
3,9,2,0.9357125313702254
3,9,3,0.8520718764985086
3,10,1,0.8210306845741753
3,10,2,0.7228751067920641
3,10,3,0.6516631556394337
3,11,1,0.6269043623585975
3,11,2,0.5486583949659724
3,11,3,0.49193266358812926
3,12,1,0.47285180883414984
3,12,2,0.41255928888660326
3,12,3,0.3688580289002878
4,1,1,0.026266688606448114
4,1,2,0.11468068553433254
4,1,3,0.18426521036972282
4,2,1,0.21510097079051627
4,2,2,0.31865560541277066
4,2,3,0.39991278438653877
4,3,1,0.43520272000031807
4,3,2,0.5533152836236348
4,3,3,0.6455894002691029
4,4,1,0.6842683223177372
4,4,2,0.8130642407010835
4,4,3,0.9130195083342041
4,5,1,0.9523198836042921
4,5,2,1.0821767030224643
4,5,3,1.1819472695122764
4,6,1,1.2170217369957872
4,6,2,1.331648108680481
4,6,3,1.4184664595676293
4,7,1,1.4443079792438613
4,7,2,1.5276735582155831
4,7,3,1.5897583149625125
4,8,1,1.6051302363720745
4,8,2,1.6541651679139002
4,8,3,1.6901497894212218
4,9,1,1.697847781730289
4,9,2,1.7222379466052409
4,9,3,1.739979012633232
4,10,1,1.7434766049664758
4,10,2,1.7545363669778076
4,10,3,1.7625602332383652
4,11,1,1.7640823304202415
4,11,2,1.7688926604169144
4,11,3,1.7723799901150235
4,12,1,1.7730307463048514
4,12,2,1.7750870341937603
4,12,3,1.7765774739974278
