th=240.0, nfe=12, hv_mode=fixed
measured_states=[1, 3, 4, 5]
estimable_params=[:mu0]
SSE=7.781681e+05
PEN=-7.982755e+03
REG=5.294831e-02
OBJ=7.765716e+05
FO_L_max=2.588938e+00
FO_U_max=1.825715e+01
FO_upt_max=2.991219e-01
FO_LU_sum=1.077892e+04
FO_upt_sum=4.679368e+00

# Parameters (name, nominal, lb, ub, start, opt_log, opt_real)
     mu0  nom= 1.416650e-01  lb= 7.083250e-02  ub= 2.833300e-01  start= 2.124975e-01  opt_log=-2.184395e+00  opt=1.125458e-01
  betaG0  nom= 1.411820e+00  lb= 1.411820e+00  ub= 1.411820e+00  start= 1.411820e+00  opt_log= 3.503533e-01  opt=1.419569e+00
  betaF0  nom= 8.494820e+00  lb= 8.494820e+00  ub= 8.494820e+00  start= 8.494820e+00  opt_log= 2.128343e+00  opt=8.400937e+00
     Kn0  nom= 2.268820e-01  lb= 2.268820e-01  ub= 2.268820e-01  start= 2.268820e-01  opt_log=-1.483401e+00  opt=2.268649e-01
     Kg0  nom= 3.151400e+00  lb= 3.151400e+00  ub= 3.151400e+00  start= 3.151400e+00  opt_log= 1.142102e+00  opt=3.133348e+00
     Kf0  nom= 2.976250e+00  lb= 2.976250e+00  ub= 2.976250e+00  start= 2.976250e+00  opt_log= 1.096072e+00  opt=2.992390e+00
    Kig0  nom= 2.952760e+01  lb= 2.952760e+01  ub= 2.952760e+01  start= 2.952760e+01  opt_log= 3.368072e+00  opt=2.902252e+01
    Kie0  nom= 2.998090e+00  lb= 2.998090e+00  ub= 2.998090e+00  start= 2.998090e+00  opt_log= 1.103395e+00  opt=3.014381e+00
     Kd0  nom= 3.117360e-05  lb= 3.117360e-05  ub= 3.117360e-05  start= 3.117360e-05  opt_log=-1.037594e+01  opt=3.117360e-05
     Yxn  nom= 9.805760e+00  lb= 9.805760e+00  ub= 9.805760e+00  start= 9.805760e+00  opt_log= 2.275662e+00  opt=9.734362e+00
     Yxg  nom= 3.943450e-01  lb= 3.943450e-01  ub= 3.943450e-01  start= 3.943450e-01  opt_log=-9.354846e-01  opt=3.923957e-01
     Yxf  nom= 1.862200e-01  lb= 1.862200e-01  ub= 1.862200e-01  start= 1.862200e-01  opt_log=-1.689276e+00  opt=1.846532e-01
     Yeg  nom= 1.413300e-01  lb= 1.413300e-01  ub= 1.413300e-01  start= 1.413300e-01  opt_log=-1.967524e+00  opt=1.398026e-01
     Yef  nom= 9.693200e-01  lb= 9.693200e-01  ub= 9.693200e-01  start= 9.693200e-01  opt_log=-3.653253e-02  opt=9.641267e-01
