start_id,SSE,OBJ,wall_s,starts_log
1,2.436818e+05,2.438397e+05,545,-2.072358312173211
2,2.323354e+05,2.323644e+05,525,-2.109608011585423
3,2.328875e+05,2.329133e+05,467,-2.3704288048853313
