th=240.0, nfe=12, hv_mode=fixed
measured_states=[1, 3, 4, 5]
estimable_params=[:mu0]
SSE=2.402633e+05
PEN=5.898622e+02
REG=4.792067e-01
OBJ=2.403813e+05
FO_L_max=6.114312e+00
FO_U_max=1.328533e+01
FO_upt_max=2.963003e+00
FO_LU_sum=5.562017e+02
FO_upt_sum=3.365612e+01

# Parameters (name, nominal, lb, ub, start, opt_log, opt_real)
     mu0  nom= 1.416650e-01  lb= 7.083250e-02  ub= 2.833300e-01  start= 2.124975e-01  opt_log=-1.262043e+00  opt=2.830752e-01
  betaG0  nom= 1.411820e+00  lb= 1.411820e+00  ub= 1.411820e+00  start= 1.411820e+00  opt_log= 3.516803e-01  opt=1.421454e+00
  betaF0  nom= 8.494820e+00  lb= 8.494820e+00  ub= 8.494820e+00  start= 8.494820e+00  opt_log= 2.125116e+00  opt=8.373871e+00
     Kn0  nom= 2.268820e-01  lb= 2.268820e-01  ub= 2.268820e-01  start= 2.268820e-01  opt_log=-1.484679e+00  opt=2.265750e-01
     Kg0  nom= 3.151400e+00  lb= 3.151400e+00  ub= 3.151400e+00  start= 3.151400e+00  opt_log= 1.151560e+00  opt=3.163124e+00
     Kf0  nom= 2.976250e+00  lb= 2.976250e+00  ub= 2.976250e+00  start= 2.976250e+00  opt_log= 1.084168e+00  opt=2.956979e+00
    Kig0  nom= 2.952760e+01  lb= 2.952760e+01  ub= 2.952760e+01  start= 2.952760e+01  opt_log= 3.386859e+00  opt=2.957293e+01
    Kie0  nom= 2.998090e+00  lb= 2.998090e+00  ub= 2.998090e+00  start= 2.998090e+00  opt_log= 1.090724e+00  opt=2.976429e+00
     Kd0  nom= 3.117360e-05  lb= 3.117360e-05  ub= 3.117360e-05  start= 3.117360e-05  opt_log=-1.031197e+01  opt=3.323281e-05
     Yxn  nom= 9.805760e+00  lb= 9.805760e+00  ub= 9.805760e+00  start= 9.805760e+00  opt_log= 2.268816e+00  opt=9.667946e+00
     Yxg  nom= 3.943450e-01  lb= 3.943450e-01  ub= 3.943450e-01  start= 3.943450e-01  opt_log=-9.258270e-01  opt=3.962036e-01
     Yxf  nom= 1.862200e-01  lb= 1.862200e-01  ub= 1.862200e-01  start= 1.862200e-01  opt_log=-1.692137e+00  opt=1.841255e-01
     Yeg  nom= 1.413300e-01  lb= 1.413300e-01  ub= 1.413300e-01  start= 1.413300e-01  opt_log=-1.969916e+00  opt=1.394685e-01
     Yef  nom= 9.693200e-01  lb= 9.693200e-01  ub= 9.693200e-01  start= 9.693200e-01  opt_log=-3.829613e-02  opt=9.624279e-01
