th=240.0, nfe=6, hv_mode=fixed
measured_states=[1, 3, 4, 5]
estimable_params=[:mu0]
SSE=1.443330e+05
PEN=9.058034e+04
REG=7.198537e-02
OBJ=1.624491e+05
FO_L_max=1.426969e+01
FO_U_max=4.264886e+01
FO_upt_max=4.652575e+01
FO_LU_sum=9.030439e+04
FO_upt_sum=2.759452e+02

# Parameters (name, nominal, lb, ub, start, opt_log, opt_real)
     mu0  nom= 1.416650e-01  lb= 7.083250e-02  ub= 2.833300e-01  start= 2.124975e-01  opt_log=-1.685989e+00  opt=1.852611e-01
  betaG0  nom= 1.411820e+00  lb= 1.411820e+00  ub= 1.411820e+00  start= 1.411820e+00  opt_log= 3.506258e-01  opt=1.419956e+00
  betaF0  nom= 8.494820e+00  lb= 8.494820e+00  ub= 8.494820e+00  start= 8.494820e+00  opt_log= 2.151917e+00  opt=8.601330e+00
     Kn0  nom= 2.268820e-01  lb= 2.268820e-01  ub= 2.268820e-01  start= 2.268820e-01  opt_log=-1.484339e+00  opt=2.266521e-01
     Kg0  nom= 3.151400e+00  lb= 3.151400e+00  ub= 3.151400e+00  start= 3.151400e+00  opt_log= 1.151447e+00  opt=3.162767e+00
     Kf0  nom= 2.976250e+00  lb= 2.976250e+00  ub= 2.976250e+00  start= 2.976250e+00  opt_log= 1.084469e+00  opt=2.957868e+00
    Kig0  nom= 2.952760e+01  lb= 2.952760e+01  ub= 2.952760e+01  start= 2.952760e+01  opt_log= 3.381506e+00  opt=2.941505e+01
    Kie0  nom= 2.998090e+00  lb= 2.998090e+00  ub= 2.998090e+00  start= 2.998090e+00  opt_log= 1.103944e+00  opt=3.016038e+00
     Kd0  nom= 3.117360e-05  lb= 3.117360e-05  ub= 3.117360e-05  start= 3.117360e-05  opt_log=-1.034246e+01  opt=3.223483e-05
     Yxn  nom= 9.805760e+00  lb= 9.805760e+00  ub= 9.805760e+00  start= 9.805760e+00  opt_log= 2.271579e+00  opt=9.694700e+00
     Yxg  nom= 3.943450e-01  lb= 3.943450e-01  ub= 3.943450e-01  start= 3.943450e-01  opt_log=-9.273923e-01  opt=3.955839e-01
     Yxf  nom= 1.862200e-01  lb= 1.862200e-01  ub= 1.862200e-01  start= 1.862200e-01  opt_log=-1.690297e+00  opt=1.844648e-01
     Yeg  nom= 1.413300e-01  lb= 1.413300e-01  ub= 1.413300e-01  start= 1.413300e-01  opt_log=-1.967834e+00  opt=1.397593e-01
     Yef  nom= 9.693200e-01  lb= 9.693200e-01  ub= 9.693200e-01  start= 9.693200e-01  opt_log=-3.727720e-02  opt=9.634090e-01
