fe,t_end,n_act_lb,n_act_ub,act_lb_idx,act_ub_idx,switches_lb,switches_ub,lb_added,lb_removed,ub_added,ub_removed,v_glu,v_fru,upt_tight_glu,upt_tight_fru,slack_glu,slack_fru,FO_upt_glu,FO_upt_fru
1,20.000000054,16,0,"257|265|294|316|425|570|636|654|770|777|817|2149|2885|3555|3643|3649","[]",16,0,16,0,0,0,-8.623569897e+00,-3.418728280e-03,0,0,7.537858910e+00,-5.362801388e-01,-4.273832185e-01,2.132892927e-02
2,40.000000050,17,0,"39|257|265|294|316|425|570|636|654|770|777|817|2149|2885|3555|3643|3649","[]",1,0,1,0,0,0,-8.523338060e+00,-3.584540635e-03,0,0,7.539351014e+00,-5.182361154e-01,-4.271714255e-01,2.084004315e-02
3,59.999999820,18,0,"39|257|265|294|316|425|570|636|654|754|770|817|2010|2149|2885|3541|3649|3697","[]",7,0,4,3,0,0,-8.469246568e+00,-3.694729149e-03,0,0,7.864326618e+00,-4.572470972e-01,-4.558862771e-01,1.826975097e-02
4,79.999999522,22,0,"171|205|257|265|294|302|316|425|570|636|654|754|770|817|2010|2149|2161|2885|3460|3541|3649|3697","[]",6,0,5,1,0,0,-8.409133704e+00,-3.781531874e-03,0,0,8.356279883e+00,-4.652286970e-01,-5.674580891e-01,1.896824195e-02
5,99.999999313,21,0,"171|205|257|265|294|302|316|425|570|636|654|754|770|817|2010|2149|2161|2885|3541|3649|3697","[]",1,0,0,1,0,0,-8.408641242e+00,-3.778827128e-03,0,0,8.385149192e+00,-3.858324807e-01,-5.780431210e-01,1.582645275e-02
6,119.999999123,21,0,"171|205|257|265|294|302|316|425|570|636|654|754|770|817|2010|2149|2161|2885|3541|3649|3697","[]",0,0,0,0,0,0,-8.409421231e+00,-3.763923900e-03,0,0,8.408829033e+00,-3.239054340e-01,-5.903388623e-01,1.333779816e-02
7,139.999999049,21,0,"171|205|257|265|294|302|316|425|570|636|654|754|770|817|2010|2149|2161|2885|3541|3649|3697","[]",0,0,0,0,0,0,-8.409421198e+00,-3.754307184e-03,0,0,8.409321292e+00,-2.772724027e-01,-5.913590161e-01,1.149840336e-02
8,159.999999061,21,0,"171|205|257|265|294|302|316|425|570|636|654|754|770|817|2010|2149|2161|2885|3541|3649|3697","[]",0,0,0,0,0,0,-8.409401687e+00,-3.736860972e-03,0,0,8.409859552e+00,-2.172094037e-01,-5.922569579e-01,9.146534167e-03
9,179.999999151,21,0,"171|205|257|265|294|302|316|425|570|636|654|754|770|817|2010|2149|2161|2885|3541|3649|3697","[]",0,0,0,0,0,0,-8.409419396e+00,-3.706784863e-03,0,0,8.409185155e+00,-1.609505874e-01,-5.933837337e-01,7.024558817e-03
10,199.999999027,21,0,"171|205|257|265|294|302|316|425|570|636|654|754|770|817|2010|2149|2161|2885|3541|3649|3697","[]",0,0,0,0,0,0,-8.411517064e+00,-3.087107689e-03,0,0,8.427882869e+00,-2.825368581e-02,-5.934133359e-01,1.473260955e-03
11,219.999999029,21,0,"171|205|257|265|294|302|316|425|570|636|654|754|770|817|2010|2149|2161|2885|3541|3649|3697","[]",0,0,0,0,0,0,-8.410501497e+00,6.351579027e-05,0,0,8.409988395e+00,-7.065310300e-03,-5.935045643e-01,4.135884624e-04
12,239.999999029,21,0,"171|205|257|265|294|302|316|425|570|636|654|754|770|817|2010|2149|2161|2885|3541|3649|3697","[]",0,0,0,0,0,0,-8.408891797e+00,-5.855116681e-04,0,0,8.411485926e+00,-1.902093731e-03,-5.943455282e-01,1.372946206e-04
