fe,t_end,n_act_lb,n_act_ub,act_lb_idx,act_ub_idx,switches_lb,switches_ub,lb_added,lb_removed,ub_added,ub_removed,v_glu,v_fru,upt_tight_glu,upt_tight_fru,slack_glu,slack_fru,FO_upt_glu,FO_upt_fru
1,20.000048277,1,0,"550","[]",1,0,1,0,0,0,-6.990871296e+00,-3.967279166e-03,0,0,5.822387392e+00,-5.462897567e-01,-1.825354017e+00,1.328119327e-01
2,40.000047932,0,0,"[]","[]",1,0,0,1,0,0,-6.756123098e+00,-3.812143444e-03,0,0,5.825612081e+00,-5.010946322e-01,-1.834157188e+00,1.233442854e-01
3,60.000047370,2,0,"294|3649","[]",2,0,2,0,0,0,-6.657263955e+00,-4.066301479e-03,0,0,6.080490479e+00,-4.606001855e-01,-1.881762015e+00,1.124547531e-01
4,80.000046610,0,0,"[]","[]",2,0,0,2,0,0,-6.506417173e+00,-4.194024528e-03,0,0,6.451934949e+00,-4.584315612e-01,-2.007526619e+00,1.119342767e-01
5,100.000046223,1,0,"1756","[]",1,0,1,0,0,0,-6.496059880e+00,-4.147740769e-03,0,0,6.475423945e+00,-3.800848989e-01,-2.017255551e+00,9.312966101e-02
6,120.000045784,1,0,"1756","[]",0,0,0,0,0,0,-6.495474844e+00,-4.149294249e-03,0,0,6.494517078e+00,-3.192274541e-01,-2.026427410e+00,7.834515720e-02
7,140.000045454,2,0,"1756|2377","[]",1,0,1,0,0,0,-6.495357592e+00,-4.125570639e-03,0,0,6.494811045e+00,-2.744598807e-01,-2.027296053e+00,6.737239829e-02
8,160.000045131,2,0,"1267|1756","[]",2,0,1,1,0,0,-6.495384310e+00,-4.122818818e-03,0,0,6.495092096e+00,-2.150192567e-01,-2.027870536e+00,5.247922614e-02
9,180.000045027,1,0,"1756","[]",1,0,0,1,0,0,-6.496643879e+00,-4.075037014e-03,0,0,6.495834887e+00,-1.593676591e-01,-2.027469535e+00,3.872208515e-02
10,200.000046107,1,0,"1756","[]",0,0,0,0,0,0,-6.497675239e+00,-9.471425925e-04,0,0,6.495205973e+00,-1.349300877e-03,-2.026760120e+00,4.207573700e-04
11,220.000046109,1,0,"1756","[]",0,0,0,0,0,0,-6.495004307e+00,-1.337185433e-03,0,0,6.496125912e+00,-8.496581790e-04,-2.028366759e+00,3.127171695e-04
12,240.000046007,2,0,"51|1756","[]",1,0,1,0,0,0,-6.493690519e+00,-2.055772724e-03,0,0,6.496881051e+00,-7.258754323e-04,-2.029913572e+00,2.183274274e-04
