fe,t_end,n_act_lb,n_act_ub,act_lb_idx,act_ub_idx,switches_lb,switches_ub,lb_added,lb_removed,ub_added,ub_removed,v_glu,v_fru,upt_tight_glu,upt_tight_fru,slack_glu,slack_fru,FO_upt_glu,FO_upt_fru
1,40.000000451,11,0,"294|425|570|777|1756|1758|2149|2233|2234|2237|3649","[]",11,0,11,0,0,0,-6.189824284e+00,-3.308525707e-03,0,0,5.166288665e+00,-5.393356458e-01,-4.194012392e+01,7.410436103e-01
2,79.999999978,7,0,"171|205|804|1756|2233|2234|2235","[]",12,0,4,8,0,0,-5.764151112e+00,-3.738669613e-03,0,0,5.702338834e+00,-4.813676620e-01,-4.600537765e+01,6.525911593e-01
3,119.999999927,5,0,"1756|2233|2234|2235|2376","[]",4,0,1,3,0,0,-5.754294989e+00,-3.752003263e-03,0,0,5.753630446e+00,-3.357188814e-01,-4.640230735e+01,4.604598279e-01
4,160.000000016,5,0,"1756|2233|2234|2235|2376","[]",0,0,0,0,0,0,-5.753390012e+00,-3.749078060e-03,0,0,5.753682862e+00,-2.276056942e-01,-4.640542591e+01,3.001400759e-01
5,200.000000242,5,0,"1756|2233|2234|2235|3428","[]",2,0,1,1,0,0,-5.752264720e+00,-3.287231284e-03,0,0,5.773251780e+00,-3.400756229e-02,-4.652574920e+01,6.313846104e-02
6,240.000000191,6,0,"1756|2233|2234|2235|2376|3428","[]",1,0,1,0,0,0,-5.751976087e+00,-2.461009689e-03,0,0,5.754042810e+00,-1.706786430e-04,-4.644810685e+01,7.245386757e-04
