start_id,SSE,OBJ,wall_s,starts_log
1,2.420746e+05,2.420816e+05,579,-2.1507691561612496
2,2.289037e+05,9.156065e+05,495,-2.3946410322119736
3,2.281013e+05,2.368202e+05,475,-1.51269477891218
