fe,t_end,n_act_lb,n_act_ub,act_lb_idx,act_ub_idx,switches_lb,switches_ub,lb_added,lb_removed,ub_added,ub_removed,v_glu,v_fru,upt_tight_glu,upt_tight_fru,slack_glu,slack_fru,FO_upt_glu,FO_upt_fru
1,40.000001464,6,0,"316|425|570|2233|2238|2885","[]",6,0,6,0,0,0,-6.544193566e+00,-3.717719618e-03,0,0,5.535352611e+00,-5.302474937e-01,-4.268795631e+01,6.875512511e-01
2,80.000001103,10,0,"257|316|356|1758|2010|2885|3463|3524|3541|3697","[]",12,0,8,4,0,0,-6.175265283e+00,-4.046627834e-03,0,0,6.111448405e+00,-4.555461347e-01,-4.677310301e+01,5.807248469e-01
3,120.000000830,8,0,"257|316|1758|2010|2234|2885|3541|3697","[]",4,0,1,3,0,0,-6.166885301e+00,-4.050572960e-03,0,0,6.166396368e+00,-3.135734755e-01,-4.716823927e+01,4.128591390e-01
4,160.000000819,10,0,"257|316|1242|1758|2010|2203|2233|2885|3541|3697","[]",4,0,3,1,0,0,-6.166259072e+00,-4.042219051e-03,0,0,6.166440309e+00,-1.957002692e-01,-4.716955654e+01,2.569090061e-01
5,200.000000942,9,0,"257|316|327|1758|2010|2233|2885|3541|3697","[]",3,0,1,2,0,0,-6.166739417e+00,-2.748637392e-03,0,0,6.165147922e+00,-8.195644601e-04,-4.719058668e+01,6.818217948e-03
6,240.000000899,7,0,"257|316|2010|2233|2885|3541|3697","[]",2,0,0,2,0,0,-6.164917787e+00,-2.471727124e-03,0,0,6.166950845e+00,2.671123667e-04,-4.721791010e+01,-1.221470487e-03
