assay,n_rows,t_min_h,t_max_h
SB004,13,0.0,180.0
SB006,13,0.0,180.0
SB009,16,0.0,189.0
SB010,16,0.0,189.0
SB011,27,0.0,374.5
24018,46,0.0,258.0
24019,46,0.0,258.0
24021,45,0.0,258.0
24022,45,0.0,258.0
24023,49,0.0,282.0
24024,49,0.0,282.0
24026,127,0.0,738.0
24027,78,0.0,450.0
24031,29,0.0,162.0
